id,type,text1,text2,text3,notes
ETC_gateofvalhallasp_bi,WEAPON,一种古老战术系统的研究成果，这种发射器能快速发射一些奇特 的物质干扰敌对物体，但一般的舰船没法安装太多这种东西。,点防御,,
ETC_thunderstormsrm_S,WEAPON,"小巧紧凑的雷雨SRM发射装置，配合自动的高速填装器与较大的载弹 量，这种武器可以连续对敌方护盾进行多次致命打击。

与赛博的二级弹头不同，雷雨SRM包裹在弹头内部的是一种被称作""冲击栓""的复合物弹体，这种弹体的工艺要求虽然要比一般的高密度金属弹头高出许多，但是原料成本却相对的要低，后续维护也简单轻松得多，但其中一个缺点是由于""冲击栓""本身的一些性质，它在成型后并不能像赛博那样将数个弹头放在一起，否则将会造成破坏力的下降。",突击,,
ETC_thunderstormsrm_M,WEAPON,"双联的雷雨SRM发射舱，并在原来的基础上进一步改进了填装结构， 还配备了一个尽可能大的弹舱。

与赛博的二级弹头不同，雷雨SRM包裹在弹头内部的是一种被称作""冲击栓""的复合物弹体，这种弹体的工艺要求虽然要比一般的高密度金属弹头高出许多，但是原料成本却相对的要低，后续维护也简单轻松得多，但其中一个缺点是由于""冲击栓""本身的一些性质，它在成型后并不能像赛博那样将数个弹头放在一起，否则将会造成破坏力的下降。",突击,,
ETC_buildermk4,WEAPON,作为粒子重构器的强化版本，构造者MK.IV可以更好的迅速击溃星域 中能见到的大多数护盾，并且提升了一点对付轻型装甲时的效果。,火力支援,,
ETC_l2pdl,WEAPON,"内置的大容量电容需要过长的时间充能，同样的，单次发射造成的伤 害十分之高，甚至能威胁到护卫舰，不过最好还是看看舰船的散幅能 力支不支持。
L2版本适合拦截坚硬又危险的发射物。",点防御,,
ETC_crystal3,WEAPON,"多次改进升级之后呈现的大型炮管，意味着这种武器能够轻松摧毁绝 大部分你能看到的东西。

为了弥补该系列武器随着体积增大而急剧下降的精准度，在以经济性为前提下IX型号 选择减小其仰角，并将改动后腾出来的空间加入了一些制动装置来达成效果。",突击,,
ETC_halom_L,WEAPON,"这种发射舱拥有较大的载弹量，能在短时间内发射多发导弹，同时能 缓慢地再生导弹。

光晕MRM是一种配备了小当量等离子战斗部的轻型导弹，这种导弹凭借着良好的机 动性与不俗的伤害，还有易于存放的体积赢得了很多舰长的青睐。",火力支援,,
ETC_l1pdl,WEAPON,"多组小型电容器的安装使其能够快速频繁的发射，但威力与射程同时 受到了限制。
L1版本适合拦截脆弱且密集的弹幕。

小行星激光钻机的试作型，因不明原因被武器化。",点防御,,
ETC_purifier,WEAPON,内置在氦-级战列舰上的非常规粒子武器，依靠着一个大型粒子加速 器，由一些发生装置产生的物质将导入腔室内形成一团非常危险的弹 丸并被发射出去，并且在击中目标后发生的一系列变化将直接促使残 余物质发生一次小型的核聚变，其后额外产生的高温等离子体继续对 周遭物体造成严重的损伤。 ,突击,,
ETC_halom_M,WEAPON,"发射架上搭载的光晕导弹是一种通用性非常强的中程导弹，无论面对 的是护盾或是装甲都能进行有效输出。

光晕MRM是一种配备了小当量等离子战斗部的轻型导弹，这种导弹凭借着良好的机 动性与不俗的伤害，还有易于存放的体积赢得了很多舰长的青睐。",火力支援,,
ETC_halom_S,WEAPON,"小型化的光晕MRM发射装置。

光晕MRM是一种配备了小当量等离子战斗部的轻型导弹，这种导弹凭借着良好的机 动性与不俗的伤害，还有易于存放的体积赢得了很多舰长的青睐。",火力支援,,
ETC_clusterbeam,WEAPON,采用了一种新颖设计的武器，这种武器抛开了笨重的粒子发生装置， 取而代之的是提供一次射击的可填装粒子包裹。这一改动大大降低了 发射时产生的幅能，并使小型单位装备上这种武器成为可能。,远程支援,,
ETC_lightplasmagun,WEAPON,小型化的等离子武器，与反物质冲击波相比而言，这种武器在保留了 高输出的同时解决了弹药上的限制，某些状况下可能胜于前者。,突击,,
ETC_crystalspear,WEAPON,基于IX型号，以弹丸速度更快，单发破坏力更强为目标设计而出的X 型粒子发射器，后果是这种非常复杂的武器只能另作修改内置于安朵 斯级巡洋舰上。但碍于武器内部一些危险的运作方式，在设计之初采 取了一系列安全措施，而只有在特殊的超载系统启动时，这门武器的 潜能才能逐渐地展露出来。,突击,,
ETC_superEMPpdweaponbi,WEAPON,特别的光束防御武器，能够使目标减速或者让导弹变成无头苍蝇。,点防御,,''
ETC_crystal1,WEAPON,"用于对付高装甲单位的粒子武器，只要能好好地处理发射时产生的幅 能，晶体II型将可以在轻型舰船对抗中发挥出很好的效果。

这一系列的武器使用了一种与旧时代海军的实弹武器相似的结构设计，主体被用于产 生一些具有高度破坏性的粒子团，而前方的炮管被用于将其加速、偏转与发射出去。",突击,,
ETC_particle_gun,WEAPON,新奇的能量霰弹枪，虽然对付高装甲目标成效不足，但凭借着良好的 性能，这种武器在近距离战斗中显得较为欢迎。,火力支援,,
ETC_tidetorpedo_Sh,WEAPON,"这种发射器配备有一个小型纳米制造器，可以缓慢补充鱼雷。

潮汐级鱼雷使用了稳定的高能压缩物来作为其狠狠打击敌舰的手段，为了确保在引爆 时能发挥出应有的效果，每次发射前都需要为鱼雷进行一次预充能。",火力支援,,
ETC_antigravityspear,WEAPON,多个发生器组合而成的大型武器，一种拥有强大攻击能力的爆发光束 武器，能造成近似于死神鱼雷的损伤。,突击,,
ETC_antigravitygun,WEAPON,性能优良的对舰武器，在瓦解装甲的同时还能瘫痪一些电子元件。,突击,,
ETC_crystal2,WEAPON,在增加了更多的充能装置后终于能对巡洋级别的目标造成有效伤害， 能量网络也进行了一系列优化。虽然还是没有达到计划中的效果，但 对付一般的状况已经绰绰有余了。,突击,,
ETC_tidetorpedo_M,WEAPON,"将框架重新设计后的加大化的潮汐级鱼雷发射槽。
该发射架能储存更多的鱼雷。

潮汐级鱼雷使用了稳定的高能压缩物来作为其狠狠打击敌舰的手段，为了确保在引爆 时能发挥出应有的效果，每次发射前都需要为鱼雷进行一次预充能。",火力支援,,
ETC_tidetorpedo_S,WEAPON,"一种使用了特殊装药的非常规鱼雷，旨在对目标持续造成破坏。
挂载槽只能存放一发鱼雷。

潮汐级鱼雷使用了稳定的高能压缩物来作为其狠狠打击敌舰的手段，为了确保在引爆 时能发挥出应有的效果，每次发射前都需要为鱼雷进行一次预充能。",火力支援,,
ETC_superEMPpdweapon,WEAPON,"特别的光束点防御武器，能够使目标减速或者让导弹变成无头苍蝇。 

这种武器将电磁脉冲与牵引光束结合在一起，成为了一种十分有效的点防御武器。",点防御,,
ETC_Lightpdweaponbi,WEAPON,内置在船体内的特殊点防御武器，利用高温熔化来袭的目标，并放出 用于散热的不稳定粒子。,点防御,,
ETC_heavymg13op,WEAPON,将两门冰雹机炮整合在一起后的结果，并且换用了一个功率更高的炮 塔电机来稳定住笨重的外壳。,突击,,
ETC_mg5op,WEAPON,"早时期参考旧时代人类海军舰炮设计出来的一种实弹怪物，这种设计 有些老旧的""大口径""防空炮可以对一些低速导弹与战机倾泻出致命的 的金属冰雹，甚至能够对部分驱逐舰级别的目标造成毁灭性打击。

127毫米冰雹机炮是一款臭名昭著的""防空武器""，凭借着防空炮这一幌子，许多新 手舰长常常苦于其怪异的防空效果，或者是由于小瞧了这种武器而沦落到被破片武 器击毁的境地。",点防御,,
ETC_prailgun,WEAPON,反应迅速的点防御武器，靠着一组加速装置这种武器能够将一团特殊 的带电粒子以很高的速度发射出去，远远的解决掉舰船附近的威胁。,点防御,,
ETC_heavy_mining_laser,WEAPON,一种耐用的钻探武器，能精准快速地切割矿物的同时也能对没有护盾 的敌舰造成有效的伤害。,近战支援,,
ETC_tidetorpedo_L,WEAPON,"大型的潮汐级鱼雷发射器拥有一个先进的填装结构，并且由于鱼雷本 身的小体积优势，在一定的空间下可以比其他型号的鱼雷拥有更多载 弹量。
这种发射器可以进行一次高伤害的爆发。

潮汐级鱼雷使用了稳定的高能压缩物来作为其狠狠打击敌舰的手段，为了确保在引爆 时能发挥出应有的效果，每次发射前都需要为鱼雷进行一次预充能。",火力支援,,
ETC_gate_of_valhalla,SHIP_SYSTEM,暂时降低船体受到的伤害， 提升些许幅能排放量， 并扭曲空间产生实体攻击敌人。,防御,提高船体伤害抗性与幅能排放量，释放干扰弹。,
ETC_space_inverter,SHIP_SYSTEM,激活特殊的相位线圈，驱动舰船朝惯性方向突进一定距离，过程中暂时免受常规攻击，结束后跃出时携带的相位能量将推开并击伤附近小范围的物体。,闪避,突进一定距离并暂时免受伤害，同时击伤目标点附近小范围物体。,
ETC_destroy_mode,SHIP_SYSTEM,解除主武器安全系统限制，将大量能量注入主武器切换主武器模式，期间改变舰船时间流速，并打开舰船上的装甲盖板进行散热。,进攻,改变时间流速并切换主武器。,
ETC_intensification_drive,SHIP_SYSTEM,暂时超频舰船的虚粒子核心来获得性能提升，增加舰船的机动性与速度，并降低能量武器开火时产生的幅能。,进攻,提升机动性与速度，并增强能量武器。,
ETC_phasecloak,SHIP_SYSTEM,"暂时让舰船跳入另外一个维度，  即P空间。 尽管因相位线圈持续产生的 幅能 仍然能使敌舰侦测到它的存在， 但也意味着任何武器都无法击中 不在同一维度的舰船。 然而由于P空间不能释放幅能， 因此该舰最终会因固定速率累积的幅能 而迫使它回到正常空间。 且在P空间内的舰船主观上要比 正常空间的时间要快上许多。

由于相位隐形系统体积庞大， 且具有显著的幅能需求，  因此普遍取代护盾并作为该舰的主要防御手段。",特殊,将该舰跳入P空间， 使其无法被任何武器所击中， 但会持续产生硬幅能， 且时间流速变快. ,
ETC_fusion_injector,SHIP_SYSTEM,短时间内加大推进器的燃料输送量来获得速度上的大幅提升，但舰船在其期间无法减速，且剧烈的碰撞将会导致熄火。,机动,大幅度提高航速，剧烈碰撞将会导致熄火。,
ETC_Electron,SHIP,围绕着一种轻型反装甲武器设计而来的僚机，并采用了一个可编程的 基础AI来代替驾驶员操作，这一设计使得电子-级联队可以很容易的 被派去执行各种歼灭小型目标的任务。,,,
ETC_detector,SHIP,"拥有与体积不相符合的防御性能，一个次级闪现核心，以及能容纳下六个人的居住舱，斥候-级是一种较为奢华的个人穿梭机。 

以某种旧型号探针为蓝本设计出的配备有高性能传感器的侦察机，这种侦察机在最初被综合体广泛用来进行对核心星区的侦察活动，但随着其他更加便利的设备问世，斥候-级逐渐淡出了军用领域，转而在个体客户间发挥其经济价值。",,,
ETC_Atom,SHIP,功能较广的空天战机，在投弹后依然可以威胁到级别不高的敌舰或者 加入到空战中，而特别配备的两门单管冰雹机炮更是能快速斩杀装甲 薄弱的目标。,,,
ETC_kinetic_energy_s,SHIP,"根据军用版本设计出的穿梭机，以低价格为目标拆除了部分的装甲，两侧的辅助喷口 以及将一系列军用级电子设备降级成了民用级。

尽管进行了民用/商用化改造后，动能(s)级丧失了有效的攻击手段，但想象力丰富的 工程师们总能在上面安装一些有趣的小玩意儿。",,,
ETC_ground_state,SHIP,"技术综合体中常见的相位护卫舰，一种能适应多种环境的护卫舰，合适的装配会让基 态级能执行更多的任务。 

与别的相位船不同，基态级使用的是综合体特有的MarkII-A相位线圈，优点在于减 少了进入相位空间时的不适感，和拥有一个保护线圈内部结构的高强度外壳，并且外 壳还起到强化相位效果的作用。
然而大部分船员都觉得在舰船跳出相位状态时""感觉很怪""。",,,
ETC_andras,SHIP,致命且难以捉摸的特种巡洋舰，在合适的舰长手里将能发挥出不可想象的战场作用。,,,
ETC_paradox_scholar,SHIP,"标准巡洋舰，两个鱼雷发射管带来的战术威慑显而易见。这个“高档货”的造价导 致竞标失利，它最终失去被列装于综合体星系边缘主舰队的可能。

量产化遇冷很长一段时间后，被重新启用的悖论学者级迅速取代了原先的各式舰艇 ，成为新纵深战略推进中组建的众多远洋舰队首选旗舰。

是Heurimos工业园区军官团体的野心，抑或布尔德加利昂制造总局一个学术主管的 失败报告，孕育出最早的悖论之种，至今仍是咖啡馆中懒汉们争论不休的话题。

这个背离了重工传统的战舰始终被层层迷雾所笼罩。不过，这并不妨碍担负远洋行 动的综合体舰队长们对其推崇备至。",,,
ETC_point_discharge,SHIP,"早时期设计出来的一种航空战列舰，有着无与伦比的战场威慑力。加上光谱级搭载 的高精度传感器，以及高效的处理系统，该舰往往还有着指挥舰这一职务。

集大量的导弹吊舱安装点，五个带有加速弹射装置的飞行甲板以及战场即时分析模 块等等于一身，表明了尖端放电级航空战列舰是一种战略地位不低于任何同级正规 航母的超级战舰，也对得起其较为高昂的造价与维护费用。

然而，关于该舰有些奇怪的甲板布局，官方一直未作出解释，有传闻尖端放电级与 氦级一样，同样有着一艘强大的，失踪了的原型舰，这无法不让人对其背后的故事产生 兴趣。",,,
ETC_helium,SHIP,"安装了两组对称且相互独立的协调火力打击体系，以独特的炮位布局和推进组件形成了火 力打击及战术一体化的标准战列舰。

Heurimos咖啡粉事变发生后不久开展的大型研发工程项目，期间经历了许多变故，最主要的 影响是经由隶属于热核基金会的鹰派政客Polimu{Hers之手，将该计划从Heurimos防务科技 园的战列舰工程中心迁移至Δ居住区的重型舰艇实验室。

该计划的进一步扩大与SU重工部分要员的积极推动也有着密切联系，综合体精英特工从 Ashura某个酒馆套取的残缺征服者级蓝图进一步刺激了该计划的推进。在设计过程中，实 验室还吸取了该舰初版，即氢级战列舰的诸多失败经验。

实验室人员尽量优化了其动力方面的诸多要素。对比氢级的应力测试模型，氦级宏大的外 型单论威慑力就更胜一筹。在配合新式的空间规避系统后，建造成本一度飙升到超出原始 预算三倍的程度，此后的每一版修订蓝图都力图向审核委员会表明成本在切实地降低。

但是迫于各方面的压力，氦级战列舰仅在极少量港口有着建造备案。统计学家，受速子科 技雇佣的厄雷修斯问题专家Sutan宣称综合体的氦级保有量并未超过两位数，这一观点得 到广泛认同。",,,
ETC_transition,SHIP,"一种舍去了部分防御，将火力集中于正面的战列巡洋舰，虽然并不足以对付大吨位舰船， 不过却可以快速猎杀小型舰船， 并且多样化的槽位配置还使其能够肩负起许多任务。

于第一次AI战争前，基于一艘被拆解的古老殖民船的构架设计而来的大吨位高速战舰，",,,
ETC_tanker_1,SHIP,"拥有一定防御能力的燃料运输舰，可以将油箱换成货舱来改变当前所担任的角色。

阴离子级在很早的时候就已经广泛存在于旧帝国的各式舰队中，第一是因为可拆卸的 货舱与油箱，第二是因为其有足够的能力抵御各种潜在的危险。",,,
ETC_mechanical_energy,SHIP,常见的驱逐舰，虽然火力在同级中显得较为平庸，然而凭借着双反应炉设计的强大功率带来的优秀幅能水平，这种驱逐舰常常能够狠狠的打击英仙座星区内那些过时的舰船。,,,
ETC_needle,SHIP,坚固可靠的点防无人机，通常内置在运输船上以弥补防御的不足。,,,
ETC_Baryon,SHIP,重子级是一种对大型目标极具威胁的，携带两枚潮汐级鱼雷的超级轰 炸机，然而几乎没有防卫能力，一般需要对其护航才能完成任务。,,,
ETC_shax,SHIP,为了追求强悍火力而设计出来的护卫舰，然而很多时候舰船的系统并不能太支持强悍的武器。,,,
ETC_useful_work,SHIP,"一种小行星作业船，在可以高速挖掘矿物的同时还拥有一定的防卫能力。 

这种采矿船从被制造出来至毁掉都只有一个任务：击碎矿物并拖至最近的处理站。

但因为这种采矿船的结构简单，有些很幸运得到它的海盗会将内置的笨重钻机换成 其他更具威慑性的武器。",,,
ETC_degenerate,SHIP,"一种靠谱的复合运输船，大量可卸载的货舱与油箱设计使得这种运输船维护起来并不麻烦。凭着较低的消耗与更多的储存空间，这种运输船正渐渐地取代其他同等吨位的运输船，并将取得更多大型舰队舰长的青睐。

这种运输船被设计于一个较早的时候，随着诸如阿特拉斯-级或普罗米修斯-级这类 大块头运输船在频繁的大规模运输途中的成为易受攻击目标，很快地，需要一种更 坚固，防御火力更好，集成度更高的运输船的想法被催生了出来，同样持有该想法 的SU重工便借此设计出了简并-级复合运输船，在这之后，简并-级也通过越来越让 人舒畅的运输报告回应了持有那种想法的人们。",,,
ETC_hyperbola,SHIP,"各种舰队中主要的护卫舰，拥有良好的火力以及高适用性。

比动能级强大，而又造价低廉，是双曲线级设计的第一标准，然而也因为这一设计标准导致的紧凑排布，许多在双曲线级上服役过的船员们无一不表示船员宿舍与炮塔挨得实在是太近了。",,,
ETC_kinetic_energy,SHIP,"依照星域内常见的风筝级设计出的一种新型护卫舰，新颖的非方盒状的外形使人眼 前一亮，精心设计的推进系统与外壳使得动能级可在太空与大气内自由地往返、飞行，虽然没有专门安置PD武器的地方，但是，对于动能级来说四个小型武器挂载点已经十 分完美了。

在某些情况下，动能级得攻击手段并不只有你看到的那些舰炮，一些追求刺激的舰长 会在侧翼上做些手脚，之后动能级便可以在碰上些脆皮时进行“肉搏战”。",,,
ETC_ionization,SHIP,"电离级，一种既有着标准巡洋舰防护力、火力，又有着轻型巡洋舰机动性的新型舰 船。由于使用了一种全新设计的推进系统，电离级是为数不多的能够在大气层内既 快速又安全地飞行的巡洋舰。

当前的电离级巡洋舰为旧电离级的改造升级版。在合适的装配下，新版的电离级有 着更加平滑的输出，更大的反应堆以及更好看的、趋于流线型的外形，还解决了一 个最让人头疼的问题：旧版电离级中央导弹吊舱发射时可能带来的污染好看反应炉 的废气。",,,
ETC_freighter_1,SHIP,"拥有一定防御能力的货舰，可以将货舱换成油箱来改变当前所担任的角色。

阴离子级在很早的时候就已经广泛存在于旧帝国的各式舰队中，第一是因为可拆卸的 货舱与油箱，第二是因为其有足够的能力抵御各种潜在的危险。",,,
ETC,FACTION,"一个直到目前为止仍然带有很多谜团的，其根源可追溯到旧地的组织。

凭借着领地内的各种人造奇观，以及不知从何而来的各种先进技术，厄雷修斯技术综合体}自被人们发现以来就一直在不断发展壮大，并持续吸纳来自各地的不满霸主统治的各行精英，最终变成一个在各种势力眼中都不可忽视的一个群体。",,,
Haiwood,CUSTOM,"一颗很不起眼的星球，最开始是作为综合体的一个挥发物供应处与仓库兼勘探点使用，后来由于Argriv{I的供应链逐渐成型而遭到关闭，在综合体舰队日益壮大后由于燃料的供应问题而重新启用。
但因为众多问题无暇顾及这里的综合体当局在启用设施后迟迟没有建立起生产线，而后，这一烂摊子最终由英仙座联盟的一个财阀花下巨额资金收购并接手Haiwood上的设施。",,,
Heurimos,CUSTOM,"凭借着足够的科技力量，使得这里成为了星系内以出产优质蔬菜水果闻名的主要食品供应地，同时也是内部势力热核基金会所管理的地方。

除此之外，经过大量改造后，星球上的一些地方变为了与旧地球一些繁荣地极为相似的区域，从建筑到地形，基本上一模一样。",,,
horizonVortexRingworldEntity,CUSTOM,尽管住居人数不如Axium多，但得益于内部极佳生态环境和恐怖的防御火力的优势，居住区Δ成为了Horizon{Vortex内最为热闹，最为安全的地方，环段上的港口每天吞吐无数的舰船，大量交通工具在居住区Δ内穿行着，一切都是为了满足巨大的游客量，以及大量前来定居的人，如此下去，居住区Δ上的人口很快将超越人口基数远大于自己的Axium。,,,
Axium,CUSTOM,"星系内工业化程度最高的行星，无数封闭城市组成了表面密集的金属网络，城市外部的缺氧环境与大气污染使得生命几乎无法存在，则各种气密通道占据了各个城市的大部分空间。

这颗行星的价值在于其蕴藏的巨量矿物资源，几乎能满足一个文明数十个世纪的矿物需求。无数位于城市外部夜以继日不断运行的钻井、遍布星球的交通网络只是这里壮观人造结构的冰山一角。",,,
horizonVortexlb,CUSTOM,看上去是很久之前就被遗弃在这里的战舰，但不知道为什么一直以来没人来打捞。,,,
horizonVortexStarStation,CUSTOM,被建造用来观测恒星状况的站点。这里聚集着来自居住区Δ的众多科研精英，他们绝大部分负责研究窗外的那耀眼的不寻常天体。这个空间站外表包裹着一层极厚的隔热材料与装甲，以及无数藏在装甲盖板下的炮塔，不明真相的敌对舰队很容易在这里瞬间蒸发。,,"你试图进一步靠近观察站，此时舰船传感器上立刻检测到了无数的高能反应物体。
此刻，你明白了为什么没有舰队敢靠近这里了。",
ETC_hypergate,CUSTOM,"一种难以理解的空间扰动设备，这种大型结构通过一系列方法将正常空间与超空间其中的两点之间，通过生成一个稳定的超空间跳跃点的方式精确地桥接起来。

'超空间稳定锚'是在最近才被发现的，或者说，几乎处于深层超空间内的它们，加上一直处于低功率的休眠状态导致在此之前还没有任何关于它们的报告，直到它们被不知道是自动程序，还是某些人为的操作启动后人们才发现了这种结构。",,,
Barbalis,CUSTOM,"靠着无数沙砾下隐藏的几乎未被开发过的矿藏资源，使得这颗被土黄色覆盖的行星成为了星系内又一个矿物出口地。

并且得益于Barubax商会精明的管理与买卖手段，众多中游产业获得了一个以较低价格进口中低品质矿物的途径，也为大多数位于Axium的面向于高新技术企业的矿业公司提供了一个处理低品质矿物的途径。",,老Checksion的殖民行动失败和新矿业基地的挫折，极大地打击了激进民主派的对外扩张热情，该派系的大部分人士已经将目光投向Heurimos的新大陆上，在共和国随后的黄金时代里，大量资金输向那里。无政府状态下的十年让Barbalis早期的开发基地彻底荒废，最终这个沙漠星球以极其低廉的价格由Barubax商会收购，并在上面建立了与本地原始生命隔离的安全发射港,
starHorizonVortex,CUSTOM,这颗异常大的白矮星散发着刺眼光芒，提供着与旧太阳一样的光照与热量。,,,
DownStation,CUSTOM,在霸主对综合体的战争早期被建造的补给中转站，现在因为种种原因随时有可能会被废弃。,,,
Argriv_I,CUSTOM,"战时与速子科技联手管理的挥发物提取地，也是与速子科技进行科技交流的一个重要地点，然而在期间的一次突袭中遭到了毁灭性的轨道轰炸打击，迫使综合体当局放弃了这块变得混乱的地方。

如今这里已成为速子科技的一个偏远的前哨，但有传言称，在星球上的一些不为人知的角落里，仍藏着综合体的精锐机动部队监视着这里的一举一动。",,,
MagneStation,CUSTOM,综合体与速子科技一起建造的巨型轨道钻机，奇怪的是这个轨道钻机实际上并不属于任何一方，也不属于星区内任何一个活跃的势力。,,,
horizonVortexRingworldicon,CUSTOM,"工程学上的一大奇迹，恒星环，一种拥有前所未有的庞大体积的，可以拥有几乎无数种功能的环形可居住结构，朝着恒星的一面被用高强度半透明结构与外太空隔绝的土地，河流，植被所铺满，一系列高度自动化的设备时刻调节着这个巨大空间内的气候，其他部分被一块又一块巨大的强化外装甲板与主动防御装置占满，而内部则可能井然有序地排列着各种超大型工业机械。

而这种仅仅是建造一小段就能掏空一个庞大势力的资源储备的巨大结构，不管从任何地方来看都明显不可能出自人之领之手，但也无人得知结构创造者的任何一丝信息，但明确知道的是，厄雷修斯技术综合体绝对是这一切之中的最大获利者。",,,
,,,,,